PO-10000,MORAN,Software,Licensing,1162003.28,2024-03-22,2024-03,North,Net 45,53,7,81,Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10001,"DOWNS, RIVERA AND MATA",Hardware,Storage Devices,1984191.92,2025-08-28,2025-08,North,Net 45,34,6,61,Non-Contract,MEDIUM,NO,2026-01-30 01:18:52.010
PO-10002,CLINE,Software,CRM Tools,497397.36,2025-06-22,2025-06,International,On Delivery,9,6,80,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10003,"LYNCH, SNYDER AND WILEY",Hardware,Servers,1894006.03,2024-12-08,2024-12,West,On Delivery,36,5,94,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10004,GALLOWAY-HILL,Hardware,Servers,466720.48,2023-03-03,2023-03,International,Net 45,42,6,86,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10005,CASTRO-MAHONEY,Cloud,AWS,1907787.85,2023-11-23,2023-11,North,Advance,51,10,90,Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10006,ELLIOTT-BAKER,Cloud,Google Cloud,625830.18,2025-02-23,2025-02,West,Advance,35,5,75,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10007,HOLLOWAY LLC,Consultancy,Audit Services,1746603.19,2024-10-19,2024-10,East,Net 45,50,10,81,Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10008,DELGADO-WEBB,Cloud,AWS,1627620.58,2025-03-16,2025-03,International,Net 30,53,6,91,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10009,PETERSEN-DICKERSON,Maintenance,Repair,1825182.61,2024-07-08,2024-07,North,Net 45,6,7,80,Contract,LOW,NO,2026-01-30 01:18:52.010
PO-10010,RAMIREZ-COLEMAN,Software,Cybersecurity,1295500.57,2024-07-15,2024-07,International,Net 30,8,7,67,Non-Contract,MEDIUM,NO,2026-01-30 01:18:52.010
PO-10011,POWELL-ATKINSON,Software,Licensing,168541.87,2024-05-30,2024-05,North,On Delivery,57,7,73,Non-Contract,LOW,NO,2026-01-30 01:18:52.010
